no,id,group,firstParti,sndParti,gender,age,residentArea,maritalStatus,children,occupation,education,covidInfecRecord,vaccRecord1stSurvey,vaccReservation,device,start_time,end_time,time
322,GsqSeB87eml9,5,,1,1,62,5,2,2,2,2,2,3,1,5,2021-08-26 20:27:54,2021-08-26 20:32:26,5
326,6cqLuaRnYhpe,4,,1,1,51,12,1,2,1,4,2,3,1,1,2021-08-26 20:28:37,2021-08-26 20:29:26,1
331,msQ9KXs7T33c,9,1,1,2,40,16,2,1,12,6,2,3,1,4,2021-08-26 20:33:07,2021-08-26 20:34:17,1
336,8aqlHNsFmMNZ,19,,1,2,26,14,1,2,4,6,2,3,2,3,2021-08-26 20:36:52,2021-08-26 20:38:08,1
339,LEP6qLNItql4,13,,1,1,24,34,1,2,1,6,2,3,2,1,2021-08-26 20:40:56,2021-08-26 20:41:34,1
341,fO3GpSgek6nq,18,1,1,1,73,29,2,2,14,6,2,3,2,4,2021-08-26 20:42:30,2021-08-26 20:43:40,1
342,BSLR7aosefFJ,7,,1,2,27,30,1,2,1,6,2,3,1,4,2021-08-26 20:42:36,2021-08-26 20:43:07,1
344,ji4qH8DlOpRx,15,,1,1,43,13,2,1,1,6,2,3,2,4,2021-08-26 20:42:51,2021-08-26 20:43:29,1
345,B9k0XMnLrZ10,13,,1,1,25,27,1,2,13,2,2,3,2,6,2021-08-26 20:42:54,2021-08-26 20:43:46,1
346,isRHm17LVaQv,11,,1,2,63,1,2,2,5,6,2,3,1,2,2021-08-26 20:43:07,2021-08-26 20:43:39,1
357,kCDpuvZmVp7v,21,,1,2,44,24,1,2,1,6,2,3,2,1,2021-08-26 21:02:16,2021-08-26 21:02:54,1
361,luvdwIuRH0to,20,,1,2,31,27,1,2,1,2,2,3,2,4,2021-08-26 21:06:49,2021-08-26 21:07:34,1
364,5ULVbkDePED0,14,,1,1,30,30,1,2,1,7,2,3,2,4,2021-08-26 21:07:58,2021-08-26 21:08:34,1
367,mGVj5zzEESHe,1,,1,1,28,13,1,2,1,6,2,3,1,4,2021-08-26 21:10:30,2021-08-26 21:11:09,1
368,3OIzdiWCZEky,2,,1,1,33,13,1,2,1,6,2,3,1,1,2021-08-26 21:10:32,2021-08-26 21:11:40,1
376,FdaX1rAuskhl,4,,1,1,52,8,3,1,1,2,2,3,1,4,2021-08-26 21:16:48,2021-08-26 21:17:35,1
377,7zYQ6jSs18R2,14,,1,1,31,28,1,2,1,4,2,3,2,5,2021-08-26 21:18:57,2021-08-26 21:19:40,1
379,3JxitHdmZoe9,14,,1,1,31,34,1,2,11,6,2,3,2,4,2021-08-26 21:20:25,2021-08-26 21:20:50,0
382,fmNFQUTi41df,15,,1,1,43,13,1,2,6,6,2,3,2,4,2021-08-26 21:24:08,2021-08-26 21:25:36,1
387,CoKfgD6vjqMt,23,,1,2,62,18,2,2,12,2,2,3,2,2,2021-08-26 21:28:43,2021-08-26 21:49:47,21
389,2qgSYw6KS0r4,19,,1,2,27,33,1,2,11,2,2,3,2,5,2021-08-26 21:31:32,2021-08-26 21:32:38,1
392,avM5UaqzJNZy,2,,1,1,36,38,2,1,1,6,2,3,1,4,2021-08-26 21:37:02,2021-08-26 21:37:53,1
395,gf0s9p6WAssk,15,,1,1,45,26,2,1,15,4,2,3,2,5,2021-08-26 21:38:29,2021-08-26 21:39:12,1
397,abDVFvcBPytm,19,,1,2,22,27,1,2,13,2,2,3,2,1,2021-08-26 21:42:29,2021-08-26 21:47:21,5
400,n4PhkHi5Tv0d,20,,1,2,35,23,1,2,11,2,2,3,2,1,2021-08-26 21:45:01,2021-08-26 21:46:18,1
403,hNOGl6qwLeQ1,15,,1,1,42,23,1,2,11,4,2,3,2,4,2021-08-26 21:51:52,2021-08-26 21:52:31,1
406,J9HmCg81TWOU,22,1,1,2,55,24,2,1,12,6,2,3,2,4,2021-08-26 21:54:15,2021-08-26 21:55:55,2
408,dRpPYzOLQ5sq,9,,1,2,48,14,2,1,11,6,2,3,1,4,2021-08-26 21:56:13,2021-08-26 21:56:52,1
409,am9ZmhP1fVPg,9,,1,2,43,26,2,1,11,6,2,3,1,1,2021-08-26 22:01:27,2021-08-26 22:02:05,1
414,6AUYMNJefM1c,20,,1,2,31,11,1,2,11,2,2,3,2,4,2021-08-26 22:09:40,2021-08-26 22:10:03,0
418,EF1t3tD58iki,19,,1,2,21,11,1,2,13,6,2,3,2,1,2021-08-26 22:14:42,2021-08-26 22:15:23,1
419,Flnd5zv2KCAA,15,1,1,1,48,37,2,1,2,6,2,3,2,1,2021-08-26 22:15:15,2021-08-26 22:16:08,1
421,BEhg09rhdV3R,20,,1,2,35,11,2,1,4,6,2,3,2,5,2021-08-26 22:17:08,2021-08-26 22:17:41,1
422,6AvmPEEeps8t,22,,1,2,52,12,1,2,7,6,2,3,2,5,2021-08-26 22:17:49,2021-08-26 22:18:31,1
427,gSK5Shlw1rV5,13,,1,1,23,23,1,2,1,6,2,3,2,4,2021-08-26 22:27:09,2021-08-26 22:28:02,1
428,6bPlxPPyNOkD,17,,1,1,68,1,3,2,11,2,2,3,2,4,2021-08-26 22:28:06,2021-08-26 22:29:00,1
